property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
The Parker,Elevator fronts,Elevator fronts,Elevator,High Priority,,
The Parker,Elevator tracks,Elevator tracks,Elevator,High Priority,,
The Parker,Elevators (front),Elevators (front),Elevator,High Priority,,
The Parker,Front,Front,Other / Unknown,High Priority,,
The Parker,Loading Dock Corridor & Exit,Loading Dock Corridor & Exit,Loading Dock,High Priority,,
The Parker,Lobby furniture,Lobby furniture,Lobby,High Priority,,
The Parker,Mail Room,Mail Room,Office / Admin,High Priority,,
The Parker,Mail room,Mail room,Office / Admin,High Priority,,
The Parker,Main Enterphone area,Main Enterphone area,Lobby,High Priority,,
The Parker,Mngt. Office w/Kitchenette,Mngt. Office w/Kitchenette,Office / Admin,High Priority,,
The Parker,P1-P3 Parking Lobbies w/4 exits each,P1-P3 Parking Lobbies w/4 exits each,Parking,High Priority,,
The Parker,P3 Housekeeping Room,P3 Housekeeping Room,Storage,High Priority,,
The Parker,P3 Storage Rm.,P3 Storage Rm.,Storage,High Priority,,
The Parker,Security,Security,Office / Admin,High Priority,,
The Parker,Summer - Gr. Floor Patio,Summer - Gr. Floor Patio,Terrace / Outdoor,High Priority,,
The Parker,lobby,lobby,Lobby,High Priority,,
The Parker,39th Floor Terrace w/Sitting areas & Barbeques,39th Floor Terrace w/Sitting areas & Barbeques,Terrace / Outdoor,Medium Priority,,
The Parker,Chutes 37(PH)-2nd,Chutes 37(PH)-2nd,Waste / Garbage,Medium Priority,,
The Parker,Dog Run Area,Dog Run Area,Terrace / Outdoor,Medium Priority,,
The Parker,Electrical Closet 39th Floor,Electrical Closet 39th Floor,Mechanical / Back-of-House,Medium Priority,,
The Parker,Electrical Closets 39th floor,Electrical Closets 39th floor,Mechanical / Back-of-House,Medium Priority,,
The Parker,Guest Suite #1706,Guest Suite #1706,Guest Suite,Medium Priority,,
The Parker,Guest Suite #1806,Guest Suite #1806,Guest Suite,Medium Priority,,
The Parker,Guest Suite #506,Guest Suite #506,Guest Suite,Medium Priority,,
The Parker,Guest Suite 1706,Guest Suite 1706,Guest Suite,Medium Priority,,
The Parker,Guest Suite 1806,Guest Suite 1806,Guest Suite,Medium Priority,,
The Parker,Guest Suite 506,Guest Suite 506,Guest Suite,Medium Priority,,
The Parker,Model Suite #3004,Model Suite #3004,Guest Suite,Medium Priority,,
The Parker,Model Suite #507,Model Suite #507,Guest Suite,Medium Priority,,
The Parker,Stairwell A,Stairwell A,Stairwell,Medium Priority,,
The Parker,Stairwell B,Stairwell B,Stairwell,Medium Priority,,
The Parker,Washrooms,Washrooms,Washroom / Change Room,Medium Priority,,
The Parker,(location not specified),(location not specified),Other / Unknown,Low Priority,,
The Parker,10 DEAN,10 DEAN,Other / Unknown,Low Priority,,
The Parker,38th Floor,38th Floor,Other / Unknown,Low Priority,,
The Parker,38th Floor Amenities areas,38th Floor Amenities areas,Amenity,Low Priority,,
The Parker,38th Floor Dining/Lounge Area,38th Floor Dining/Lounge Area,Amenity,Low Priority,,
The Parker,38th Floor Windows,38th Floor Windows,Other / Unknown,Low Priority,,
The Parker,38th Floor corridors,38th Floor corridors,Corridor / Hallway,Low Priority,,
The Parker,39th & 38th Floor,39th & 38th Floor,Other / Unknown,Low Priority,,
The Parker,39th Floor,39th Floor,Other / Unknown,Low Priority,,
The Parker,39th Floor Amenities areas,39th Floor Amenities areas,Amenity,Low Priority,,
The Parker,39th Floor Glass,39th Floor Glass,Other / Unknown,Low Priority,,
The Parker,39th Floor Terrace w/Sitting Areas & Barbeques,39th Floor Terrace w/Sitting Areas & Barbeques,Terrace / Outdoor,Low Priority,,
The Parker,39th Floor corridors,39th Floor corridors,Corridor / Hallway,Low Priority,,
The Parker,5th Floor,5th Floor,Other / Unknown,Low Priority,,
The Parker,ALL Main Lobby Areas,ALL Main Lobby Areas,Lobby,Low Priority,,
The Parker,All metal thresholds,All metal thresholds,Other / Unknown,Low Priority,,
The Parker,Baseboards,Baseboards,Other / Unknown,Low Priority,,
The Parker,Carpet (13th-25th),Carpet (13th-25th),Other / Unknown,Low Priority,,
The Parker,Carpet (26th-37th),Carpet (26th-37th),Other / Unknown,Low Priority,,
The Parker,Carpet (2nd-12th),Carpet (2nd-12th),Other / Unknown,Low Priority,,
The Parker,Carpeted Corridors,Carpeted Corridors,Corridor / Hallway,Low Priority,,
The Parker,Carpets,Carpets,Other / Unknown,Low Priority,,
The Parker,Chute Room,Chute Room,Waste / Garbage,Low Priority,,
The Parker,Corridor lighting,Corridor lighting,Corridor / Hallway,Low Priority,,
The Parker,Corridors 20th-37th,Corridors 20th-37th,Corridor / Hallway,Low Priority,,
The Parker,Corridors 2nd-19th,Corridors 2nd-19th,Corridor / Hallway,Low Priority,,
The Parker,Elevator Front Tiles,Elevator Front Tiles,Elevator,Low Priority,,
The Parker,Elevator doors and frames & TRACKS 37(PH) to 2nd,Elevator doors and frames & TRACKS 37(PH) to 2nd,Elevator,Low Priority,,
The Parker,Exterior Patio,Exterior Patio,Terrace / Outdoor,Low Priority,,
The Parker,Floor (13th-25th),Floor (13th-25th),Other / Unknown,Low Priority,,
The Parker,Floor (26th-37th),Floor (26th-37th),Other / Unknown,Low Priority,,
The Parker,Floor (2nd-12th),Floor (2nd-12th),Other / Unknown,Low Priority,,
The Parker,Glass,Glass,Other / Unknown,Low Priority,,
The Parker,Glass & Mirrors 38,Glass & Mirrors 38,Other / Unknown,Low Priority,,
The Parker,Glass & Mirrors 39,Glass & Mirrors 39,Other / Unknown,Low Priority,,
The Parker,Guest Suites,Guest Suites,Guest Suite,Low Priority,,
The Parker,HIGH REACH AREAS - ex. Vestibule to Elevators,HIGH REACH AREAS - ex. Vestibule to Elevators,Elevator,Low Priority,,
The Parker,Loading Dock & Bay Corridor & Exit,Loading Dock & Bay Corridor & Exit,Loading Dock,Low Priority,,
The Parker,Main Lobby Furniture,Main Lobby Furniture,Lobby,Low Priority,,
The Parker,Main Lobby Windows,Main Lobby Windows,Lobby,Low Priority,,
The Parker,Model Suites,Model Suites,Guest Suite,Low Priority,,
The Parker,P1 Exit (Cement),P1 Exit (Cement),Corridor / Hallway,Low Priority,,
The Parker,P1-P3 + Main Lobby & Amenities,P1-P3 + Main Lobby & Amenities,Lobby,Low Priority,,
The Parker,P2 Exit (Cement),P2 Exit (Cement),Corridor / Hallway,Low Priority,,
The Parker,P3,P3,Other / Unknown,Low Priority,,
The Parker,P3 Exit (Cement),P3 Exit (Cement),Corridor / Hallway,Low Priority,,
The Parker,P3 Fridge,P3 Fridge,Other / Unknown,Low Priority,,
The Parker,P3 Lunch Room,P3 Lunch Room,Other / Unknown,Low Priority,,
The Parker,PARKER PLAQUE,PARKER PLAQUE,Other / Unknown,Low Priority,,
The Parker,PARKER Plaque,PARKER Plaque,Other / Unknown,Low Priority,,
The Parker,"Resident doors, frames, thresholds","Resident doors, frames, thresholds",Other / Unknown,Low Priority,,
The Parker,"Stairwells doors, frames, thresholds & hinges (top of door)","Stairwells doors, frames, thresholds & hinges (top of door)",Stairwell,Low Priority,,
The Parker,Trash Cans,Trash Cans,Waste / Garbage,Low Priority,,
The Parker,Ventilation and wallpaper around it,Ventilation and wallpaper around it,Other / Unknown,Low Priority,,
Waverley,1 Universal Washroom,1 Universal Washroom,Washroom / Change Room,High Priority,,
Waverley,"10 Dean- Ground Level Kitchen (floor and edges), furniture, tables and chairs","10 Dean- Ground Level Kitchen (floor and edges), furniture, tables and chairs",Amenity,High Priority,,
Waverley,15 Level Lido (Pool),15 Level Lido (Pool),Pool / Spa,High Priority,,
Waverley,2 Elevators (#1 to #3),2 Elevators (#1 to #3),Elevator,High Priority,,
Waverley,ALL corridors,ALL corridors,Corridor / Hallway,High Priority,,
Waverley,Back entrance with long corridor,Back entrance with long corridor,Corridor / Hallway,High Priority,,
Waverley,Bike Room,Bike Room,Other / Unknown,High Priority,,
Waverley,In front of elevators 15th to 3rd floor,In front of elevators 15th to 3rd floor,Elevator,High Priority,,
Waverley,Mail room,Mail room,Office / Admin,High Priority,,
Waverley,Main entrance w/Enterphone area,Main entrance w/Enterphone area,Lobby,High Priority,,
Waverley,Management Office,Management Office,Office / Admin,High Priority,,
Waverley,Mezzanine (M) Level Cleveland Clinic,Mezzanine (M) Level Cleveland Clinic,Amenity,High Priority,,
Waverley,P1 Parking Lobby & Exits x2,P1 Parking Lobby & Exits x2,Parking,High Priority,,
Waverley,Parcel Rm.,Parcel Rm.,Office / Admin,High Priority,,
Waverley,Security desk,Security desk,Office / Admin,High Priority,,
Waverley,Sitting Area,Sitting Area,Other / Unknown,High Priority,,
Waverley,The Temple,The Temple,Fitness,High Priority,,
Waverley,Yoga Room,Yoga Room,Fitness,High Priority,,
Waverley,15 Level Changerooms x2 (1 washroom and 1 shower each),15 Level Changerooms x2 (1 washroom and 1 shower each),Washroom / Change Room,Medium Priority,,
Waverley,2 universal washrooms,2 universal washrooms,Washroom / Change Room,Medium Priority,,
Waverley,2nd Floor 1 universal washroom,2nd Floor 1 universal washroom,Washroom / Change Room,Medium Priority,,
Waverley,2nd Floor Amenities & 2nd Flr. Chute room,2nd Floor Amenities & 2nd Flr. Chute room,Waste / Garbage,Medium Priority,,
Waverley,2nd Floor exterior Patio with 3 BBQs,2nd Floor exterior Patio with 3 BBQs,Terrace / Outdoor,Medium Priority,,
Waverley,Chutes 15th to 3rd,Chutes 15th to 3rd,Waste / Garbage,Medium Priority,,
Waverley,Exterior Patio & Bees at Work,Exterior Patio & Bees at Work,Terrace / Outdoor,Medium Priority,,
Waverley,Guest Suite 309 / Turnover suites,Guest Suite 309 / Turnover suites,Guest Suite,Medium Priority,,
Waverley,Mezzanine (M) Level 1 universal washroom,Mezzanine (M) Level 1 universal washroom,Washroom / Change Room,Medium Priority,,
Waverley,SB Level 1 universal washroom,SB Level 1 universal washroom,Washroom / Change Room,Medium Priority,,
Waverley,(all mopped areas),(all mopped areas),Other / Unknown,Low Priority,,
Waverley,(building-wide),(building-wide),Other / Unknown,Low Priority,,
Waverley,2nd Floor STOA,2nd Floor STOA,Other / Unknown,Low Priority,,
Waverley,Carpets,Carpets,Other / Unknown,Low Priority,,
Waverley,Elevator Tracks ELEVATORS #1 PH-P1,Elevator Tracks ELEVATORS #1 PH-P1,Elevator,Low Priority,,
Waverley,Elevator Tracks ELEVATORS #2 PH-P1,Elevator Tracks ELEVATORS #2 PH-P1,Elevator,Low Priority,,
Waverley,Floor (8th-3rd),Floor (8th-3rd),Other / Unknown,Low Priority,,
Waverley,Floors (15th-9th),Floors (15th-9th),Other / Unknown,Low Priority,,
Waverley,Garbage chutes between 15th and 3rd floor,Garbage chutes between 15th and 3rd floor,Waste / Garbage,Low Priority,,
Waverley,Glass/mirrors 15th and 2nd Level,Glass/mirrors 15th and 2nd Level,Other / Unknown,Low Priority,,
Waverley,Glass/mirrors Ground Floor & Amenities areas Mezzanine Level,Glass/mirrors Ground Floor & Amenities areas Mezzanine Level,Amenity,Low Priority,,
Waverley,Glass/mirrors PH Level,Glass/mirrors PH Level,Other / Unknown,Low Priority,,
Waverley,Ground Floor / Mezzanine / SB (P1) / 2nd Floor janitor rooms,Ground Floor / Mezzanine / SB (P1) / 2nd Floor janitor rooms,Storage,Low Priority,,
Waverley,Guest Suite,Guest Suite,Guest Suite,Low Priority,,
Waverley,Mezzanine (M) Level The Gallery,Mezzanine (M) Level The Gallery,Other / Unknown,Low Priority,,
Waverley,Mezzanine (M) Level The Reel,Mezzanine (M) Level The Reel,Other / Unknown,Low Priority,,
Waverley,Model Suite 509,Model Suite 509,Guest Suite,Low Priority,,
Waverley,SB Level Beauty for the Beast,SB Level Beauty for the Beast,Other / Unknown,Low Priority,,
Waverley,SB Level Bike Room,SB Level Bike Room,Other / Unknown,Low Priority,,
Waverley,SB Level Maintenance Room (with lunch room and maintenance office),SB Level Maintenance Room (with lunch room and maintenance office),Office / Admin,Low Priority,,
