property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
Cabbagetown,"Parking 1 Amenities - Laundry Room Tower 1 (191) w/ sitting area, 2 trash can","Parking 1 Amenities - Laundry Room Tower 1 (191) w/ sitting area, 2 trash can",Parking,Low Priority,,
Cabbagetown,"Parking 1 Amenities - Laundry Room w/ sitting area, 2 trash can","Parking 1 Amenities - Laundry Room w/ sitting area, 2 trash can",Parking,Low Priority,,
Cabbagetown,"Parking 1 Amenities - Party room w/sitting area, kitchenette, fridge, dishwasher, 1 trash can","Parking 1 Amenities - Party room w/sitting area, kitchenette, fridge, dishwasher, 1 trash can",Parking,Low Priority,,
Cabbagetown,Resident doors & thresholds,Resident doors & thresholds,Other / Unknown,Low Priority,,
Cabbagetown,Sitting area x 2,Sitting area x 2,Other / Unknown,Low Priority,,
Cabbagetown,Sitting areas,Sitting areas,Other / Unknown,Low Priority,,
Cabbagetown,Stairwell A and B 24th-P1,Stairwell A and B 24th-P1,Stairwell,Low Priority,,
Cabbagetown,Stairwell A and B 27th-P1,Stairwell A and B 27th-P1,Stairwell,Low Priority,,
Cabbagetown,"Stairwells doors, frames, thresholds & hinges (top of door)","Stairwells doors, frames, thresholds & hinges (top of door)",Stairwell,Low Priority,,
Cabbagetown,Thresholds,Thresholds,Other / Unknown,Low Priority,,
Cabbagetown,Ventilation and wallpaper around it,Ventilation and wallpaper around it,Other / Unknown,Low Priority,,
Cabbagetown,all glass of the lobby,all glass of the lobby,Lobby,Low Priority,,
Cabbagetown,manager Office Sitting area x 2,manager Office Sitting area x 2,Office / Admin,Low Priority,,
Cabbagetown,manager assistant Office,manager assistant Office,Office / Admin,Low Priority,,
Cabbagetown,½ hallway where the amenities are located,½ hallway where the amenities are located,Corridor / Hallway,Low Priority,,
Elm/Ledbury,(building-wide),(building-wide),Other / Unknown,High Priority,,
Elm/Ledbury,1 Elevator #B6,1 Elevator #B6,Elevator,High Priority,,
Elm/Ledbury,1 Elevator #C5,1 Elevator #C5,Elevator,High Priority,,
Elm/Ledbury,1 Universal Washroom,1 Universal Washroom,Washroom / Change Room,High Priority,,
Elm/Ledbury,10 Dean with 2 washrooms,10 Dean with 2 washrooms,Washroom / Change Room,High Priority,,
Elm/Ledbury,10th Floor 1 universal washroom,10th Floor 1 universal washroom,Washroom / Change Room,High Priority,,
Elm/Ledbury,10th Floor 2 BBQs,10th Floor 2 BBQs,Terrace / Outdoor,High Priority,,
Elm/Ledbury,10th Floor Amenities - STOA Outdoor Terraces,10th Floor Amenities - STOA Outdoor Terraces,Terrace / Outdoor,High Priority,,
Elm/Ledbury,10th Floor Pizza Oven,10th Floor Pizza Oven,Amenity,High Priority,,
Elm/Ledbury,2 Exits west/east,2 Exits west/east,Corridor / Hallway,High Priority,,
Elm/Ledbury,2nd Floor 1 Universal washroom,2nd Floor 1 Universal washroom,Washroom / Change Room,High Priority,,
Elm/Ledbury,2nd Floor Amenities & 2nd Flr. Chute room,2nd Floor Amenities & 2nd Flr. Chute room,Waste / Garbage,High Priority,,
Elm/Ledbury,2nd Floor BatterSea Bridge,2nd Floor BatterSea Bridge,Other / Unknown,High Priority,,
Elm/Ledbury,2nd Floor Cleveland Clinic,2nd Floor Cleveland Clinic,Amenity,High Priority,,
Elm/Ledbury,2nd Floor Exterior Corridor,2nd Floor Exterior Corridor,Corridor / Hallway,High Priority,,
Elm/Ledbury,2nd Floor Green House (Juice Fridge),2nd Floor Green House (Juice Fridge),Amenity,High Priority,,
Elm/Ledbury,2nd Floor Men's washrooms,2nd Floor Men's washrooms,Washroom / Change Room,High Priority,,
Elm/Ledbury,2nd Floor Raptors Basketball Court,2nd Floor Raptors Basketball Court,Amenity,High Priority,,
Elm/Ledbury,"2nd Floor Ski & Snowboard simulator (sitting area, kitchenette, 1 universal Washroom)","2nd Floor Ski & Snowboard simulator (sitting area, kitchenette, 1 universal Washroom)",Washroom / Change Room,High Priority,,
