property_name,unique_location_count,unique_area_type_count,high_priority_count,medium_priority_count,low_priority_count,unknown_area_count
Cabbagetown,76,13,31,10,35,17
Elm/Ledbury,112,16,63,7,42,21
Maddox-Tyndall,42,12,20,4,18,12
The Parker,120,17,50,16,54,29
Waverley,48,14,18,10,20,14
